experiment,discount,horizon,c_samples,r_samples,run,t,r,std,q_r,q_std,sample,q_sample
tiger,0.9,1,5,250,4,34,-2.1399999999999997,7.491355017618642,3.1399999999999997,4.943723293227484,5,5
tiger,0.9,1,5,250,4,35,-2.0200000000000005,7.484624239065044,-2.74,7.496159016456361,5,5
tiger,0.9,1,5,250,4,36,-1.0,0.0,-1.9599999999999995,7.480534740244176,5,5
tiger,0.9,1,5,250,4,37,3.2,4.874423042781576,-1.0,0.0,5,5
tiger,0.9,1,5,250,4,38,-2.9800000000000004,7.484624239065044,3.5600000000000005,4.418868633485272,5,5
tiger,0.9,1,5,250,4,39,-2.32,7.497839688870388,-2.68,7.497839688870388,5,5
tiger,0.9,1,5,250,4,40,-1.7799999999999994,7.4653600047151105,-2.62,7.4990399385521345,5,5
tiger,0.9,1,5,250,4,41,-1.0,0.0,-2.92,7.488230765674893,5,5
tiger,0.9,1,5,250,4,42,-1.0,0.0,-2.8000000000000003,7.493997598078078,5,5
tiger,0.9,1,5,250,4,43,4.7,2.0999999999999996,-3.2800000000000002,7.4593297286016265,5,5
tiger,0.9,1,5,250,4,44,-2.5,7.5,-2.32,7.497839688870388,5,5
tiger,0.9,1,5,250,4,45,-2.6799999999999997,7.497839688870388,-2.74,7.496159016456361,5,5
tiger,0.9,1,5,250,4,46,-3.6399999999999997,7.41285370151064,-2.26,7.496159016456361,5,5
tiger,0.9,1,5,250,4,47,-3.82,7.382926249123717,-1.6600000000000001,7.452811550012519,5,5
tiger,0.9,1,5,250,4,48,-3.3400000000000003,7.452811550012519,-2.68,7.497839688870388,5,5
tiger,0.9,1,5,250,4,49,-3.5200000000000005,7.430316278598105,-2.8600000000000003,7.491355017618642,5,5
tiger,0.9,1,5,250,5,0,1.9400000000000004,6.044534721548053,2.1800000000000006,5.860682554105792,5,5
tiger,0.9,1,5,250,5,1,-2.8600000000000003,7.491355017618642,-2.74,7.496159016456361,5,5
tiger,0.9,1,5,250,5,2,-2.38,7.4990399385521345,-2.5,7.5,5,5
tiger,0.9,1,5,250,5,3,-1.0,0.0,-3.3400000000000003,7.452811550012519,5,5
tiger,0.9,1,5,250,5,4,2.48,5.607994293863003,-2.74,7.496159016456361,5,5
tiger,0.9,1,5,250,5,5,-1.0,0.0,-2.7399999999999998,7.496159016456361,5,5
tiger,0.9,1,5,250,5,6,2.6599999999999997,5.442830146164769,-2.9800000000000004,7.484624239065044,5,5
tiger,0.9,1,5,250,5,7,-2.5,7.5,-4.24,7.295368393713918,5,5
tiger,0.9,1,5,250,5,8,-2.98,7.484624239065044,-2.0199999999999996,7.484624239065044,5,5
tiger,0.9,1,5,250,5,9,-1.6,7.445804187594514,-2.62,7.4990399385521345,5,5
tiger,0.9,1,5,250,5,10,-1.0,0.0,-2.5,7.5,5,5
tiger,0.9,1,5,250,5,11,3.62,4.33538925588003,-3.2200000000000006,7.4653600047151105,5,5
tiger,0.9,1,5,250,5,12,-2.38,7.4990399385521345,-2.5,7.5,5,5
tiger,0.9,1,5,250,5,13,-1.0,0.0,-1.7200000000000006,7.459329728601626,5,5
tiger,0.9,1,5,250,5,14,3.62,4.33538925588003,-3.5199999999999996,7.430316278598105,5,5
tiger,0.9,1,5,250,5,15,-2.0200000000000005,7.484624239065044,-3.1000000000000005,7.475961476626268,5,5
tiger,0.9,1,5,250,5,16,-2.8600000000000003,7.491355017618642,-1.2999999999999998,7.403377607551839,5,5
tiger,0.9,1,5,250,5,17,-2.68,7.497839688870388,-1.0,0.0,5,5
